ID,Name,Designation,Department,Location,Date_of_Joining,Gender,Salary,Phone_No,GP,Work_From,Last Logout,
1,PWTLK,SDET,Development,Texas,02/05/10,Male,1074103,9898980000,1.00,Work From Office,02-21-2017 08:19:45,
2,YDGNJ,SDET,Development,Pune,31/10/22,Female,1343660,9898980001,2.00,Work From Home,06-20-2021 07:54:23,
3,THBCA,QA,Application Development,Pune,12/04/18,Male,1402839,9898980002,1.00,Work From Home,07-05-2013 15:04:10,
4,NOZLU,SDET,Operations,Gurgaon,06/05/12,Male,1187835,9898980003,1.00,Work From Home,11-01-2012 19:39:53,
5,WRNMG,TEAM LEAD,Operations,Banglore,23/06/12,Female,1385814,9898980004,3.00,Work From Office,11-13-2012 03:01:28,
6,OGNTL,SDE,Development,Texas,04/04/16,Female,1567917,9898980005,1.00,,03-02-2020 13:32:31,
7,JZYCU,QA,Testing,Texas,04/03/10,Male,1315738,9898980006,3.00,,11-27-2016 12:40:15,
8,LXHJH,SDET,Application Development,Gurgaon,24/01/22,Male,1205051,9898980007,1.00,Work From Office,03-05-2020 08:59:43,
9,TUJBC,TEAM LEAD,Application Development,Texas,12/09/19,Male,1917090,9898980008,3.00,Work From Office,02-27-2019 05:03:14,
10,DUTVD,MANAGER,Operations,Pune,06/02/13,Female,1638859,9898980009,2.00,Work From Office,02-15-2020 13:32:29,
11,BUXGK,TEAM LEAD,Testing,Pune,04/04/15,Female,1462040,9898980010,4.00,Work From Office,11-15-2020 15:37:21,
12,PVICI,MANAGER,Application Development,Gurgaon,19/01/20,Male,1083313,9898980011,3.00,,02-03-2020 20:30:32,
13,IWDQD,TEAM LEAD,Application Development,Delhi,11/01/11,Female,1532179,9898980012,3.00,Work From Office,07-19-2019 04:50:50,
14,GUYAK,TEAM LEAD,Operations,Texas,03/02/21,Male,1924574,9898980013,3.00,,07-29-2018 12:10:58,
15,GZAZI,MANAGER,Testing,Gurgaon,12/04/12,Female,1173472,9898980014,4.00,Work From Office,06-30-2021 22:38:24,
16,CVFBV,SDE,Testing,Pune,29/07/20,Male,1330935,9898980015,4.00,Work From Office,05-06-2015 17:14:47,
17,BBOXG,TEAM LEAD,Operations,Gurgaon,09/01/12,Male,1555191,9898980016,2.00,,11-01-2013 13:23:02,
18,SSDRG,TEAM LEAD,Operations,Pune,17/02/11,Female,1934396,9898980017,5.00,Work From Office,12-07-2019 05:35:56,
